temporal,use,date,ID,COUNT,AREA,MEAN
day,prediction,27/01/2023,361,1,4900,31.547726
day,prediction,27/01/2023,1,292,262800,32.90652206
day,prediction,27/01/2023,2,871,783900,32.51899585
day,prediction,27/01/2023,3,1453,1307700,32.6985442
day,prediction,27/01/2023,4,2040,1836000,32.67958139
day,prediction,27/01/2023,5,2619,2357100,32.74481904
day,prediction,27/01/2023,6,3196,2876400,32.22997027
day,prediction,27/01/2023,7,3785,3406500,33.23949047
day,prediction,27/01/2023,8,4371,3933900,33.99808365
day,prediction,27/01/2023,9,4940,4446000,30.67414006
day,prediction,27/01/2023,10,5527,4974300,31.566086
day,prediction,27/01/2023,11,6087,5478300,32.24327388
day,prediction,27/01/2023,12,6684,6015600,27.99104416
day,prediction,27/01/2023,13,7260,6534000,24.57502525
day,prediction,27/01/2023,14,7859,7073100,24.51388767
day,prediction,27/01/2023,15,8443,7598700,23.82976924
day,prediction,27/01/2023,16,9007,8106300,23.48631815
day,prediction,27/01/2023,17,9625,8662500,35.352535
day,prediction,27/01/2023,18,10182,9163800,23.06802787
day,prediction,27/01/2023,19,10767,9690300,23.25699023
day,prediction,27/01/2023,20,11326,10193400,23.83130871
day,prediction,27/01/2023,21,8098,7288200,25.52361252
day,prediction,27/01/2023,22,4295,3865500,28.33130066
day,prediction,27/01/2023,23,1915,1723500,29.10609434
day,prediction,27/01/2023,24,207,186300,29.52141873
day,prediction,27/01/2023,31,290,261000,32.20223251
day,prediction,27/01/2023,32,289,260100,32.32022506
day,prediction,27/01/2023,33,290,261000,32.26895755
day,prediction,27/01/2023,34,290,261000,32.40526943
day,prediction,27/01/2023,35,291,261900,32.6093929
day,prediction,27/01/2023,36,287,258300,32.89187429
day,prediction,27/01/2023,37,291,261900,32.27031637
day,prediction,27/01/2023,38,294,264600,32.96224419
day,prediction,27/01/2023,39,290,261000,32.88456442
day,prediction,27/01/2023,40,292,262800,33.40144586
day,prediction,27/01/2023,41,288,259200,33.31390209
day,prediction,27/01/2023,42,872,784800,32.82635298
day,prediction,27/01/2023,43,876,788400,32.86603894
day,prediction,27/01/2023,44,875,787500,32.55283872
day,prediction,27/01/2023,45,873,785700,33.43567792
day,prediction,27/01/2023,46,872,784800,33.88980506
day,prediction,27/01/2023,47,874,786600,33.39535708
day,prediction,27/01/2023,48,875,787500,33.07621733
day,prediction,27/01/2023,49,874,786600,34.31816808
day,prediction,27/01/2023,50,873,785700,32.68453602
day,prediction,27/01/2023,51,871,783900,32.40044664
day,prediction,27/01/2023,52,872,784800,33.44237467
day,prediction,27/01/2023,53,1454,1308600,31.14330482
day,prediction,27/01/2023,54,1452,1306800,32.26933925
day,prediction,27/01/2023,55,1454,1308600,32.4315208
day,prediction,27/01/2023,56,1453,1307700,32.18559178
day,prediction,27/01/2023,57,1454,1308600,32.83710209
day,prediction,27/01/2023,58,1455,1309500,31.95384463
day,prediction,27/01/2023,59,1452,1306800,32.99009837
day,prediction,27/01/2023,60,1458,1312200,34.01200951
day,prediction,27/01/2023,61,1453,1307700,34.10751253
day,prediction,27/01/2023,62,1447,1302300,33.06565477
day,prediction,27/01/2023,63,1457,1311300,32.89660665
day,prediction,27/01/2023,64,2039,1835100,33.31764449
day,prediction,27/01/2023,65,2034,1830600,32.99490495
day,prediction,27/01/2023,66,2035,1831500,32.22307836
day,prediction,27/01/2023,67,2043,1838700,33.08195335
day,prediction,27/01/2023,68,2035,1831500,32.33649927
day,prediction,27/01/2023,69,2039,1835100,33.34870134
day,prediction,27/01/2023,70,2033,1829700,32.69652473
day,prediction,27/01/2023,71,2034,1830600,33.48521796
day,prediction,27/01/2023,72,2031,1827900,33.74331463
day,prediction,27/01/2023,73,2042,1837800,33.78925181
day,prediction,27/01/2023,74,2035,1831500,33.85899935
day,prediction,27/01/2023,75,2616,2354400,33.38205827
day,prediction,27/01/2023,76,2622,2359800,32.68521635
day,prediction,27/01/2023,77,2613,2351700,33.14425022
day,prediction,27/01/2023,78,2614,2352600,32.45045551
day,prediction,27/01/2023,79,2617,2355300,33.21804259
day,prediction,27/01/2023,80,2617,2355300,32.38823556
day,prediction,27/01/2023,81,2616,2354400,33.45251301
day,prediction,27/01/2023,82,2613,2351700,33.92522919
day,prediction,27/01/2023,83,2618,2356200,33.80741991
day,prediction,27/01/2023,84,2621,2358900,34.40580097
day,prediction,27/01/2023,85,2620,2358000,33.98546241
day,prediction,27/01/2023,86,3200,2880000,33.10861712
day,prediction,27/01/2023,87,3209,2888100,33.1754081
day,prediction,27/01/2023,88,3194,2874600,33.6449733
day,prediction,27/01/2023,89,3198,2878200,32.73868127
day,prediction,27/01/2023,90,3197,2877300,32.05229487
day,prediction,27/01/2023,91,3205,2884500,33.29449043
day,prediction,27/01/2023,92,3203,2882700,32.9637599
day,prediction,27/01/2023,93,3204,2883600,33.91063681
day,prediction,27/01/2023,94,3196,2876400,34.36149258
day,prediction,27/01/2023,95,3199,2879100,32.792568
day,prediction,27/01/2023,96,3192,2872800,32.57767737
day,prediction,27/01/2023,97,3780,3402000,34.07672416
day,prediction,27/01/2023,98,3776,3398400,32.42681883
day,prediction,27/01/2023,99,3784,3405600,32.28335214
day,prediction,27/01/2023,100,3780,3402000,31.36602988
day,prediction,27/01/2023,101,3790,3411000,33.94495211
day,prediction,27/01/2023,102,3782,3403800,33.5219344
day,prediction,27/01/2023,103,3778,3400200,33.4391209
day,prediction,27/01/2023,104,3781,3402900,34.08620565
day,prediction,27/01/2023,105,3781,3402900,33.73444237
