temporal,use,date,ID,COUNT,AREA,MEAN
night,base,7/01/2023,361,1,4900,18.899761
night,prediction,7/01/2023,1,56,274400,18.64250815
night,prediction,7/01/2023,2,162,793800,18.54224039
night,prediction,7/01/2023,3,265,1298500,18.67572044
night,prediction,7/01/2023,4,375,1837500,18.60162276
night,prediction,7/01/2023,5,481,2356900,19.34442962
night,prediction,7/01/2023,6,586,2871400,19.03732975
night,prediction,7/01/2023,7,696,3410400,19.70606951
night,prediction,7/01/2023,8,805,3944500,21.09472117
night,prediction,7/01/2023,9,901,4414900,21.12019645
night,prediction,7/01/2023,10,1018,4988200,20.30497482
night,prediction,7/01/2023,11,1121,5492900,20.111886
night,prediction,7/01/2023,12,1225,6002500,20.87416487
night,prediction,7/01/2023,13,1334,6536600,21.20182643
night,prediction,7/01/2023,14,1447,7090300,21.16575347
night,prediction,7/01/2023,15,1548,7585200,21.03072796
night,prediction,7/01/2023,16,1650,8085000,20.71594046
night,prediction,7/01/2023,17,1775,8697500,16.96743402
night,prediction,7/01/2023,18,1870,9163000,20.3875529
night,prediction,7/01/2023,19,1972,9662800,20.2755851
night,prediction,7/01/2023,20,2061,10098900,20.15095173
night,prediction,7/01/2023,21,1287,6306300,19.4708909
night,prediction,7/01/2023,22,687,3366300,18.38807618
night,prediction,7/01/2023,23,272,1332800,17.73305178
night,prediction,7/01/2023,24,11,53900,17.30009113
night,prediction,7/01/2023,31,53,259700,18.35717025
night,prediction,7/01/2023,32,51,249900,18.76525613
night,prediction,7/01/2023,33,56,274400,19.46443377
night,prediction,7/01/2023,34,51,249900,19.01096235
night,prediction,7/01/2023,35,53,259700,18.94061528
night,prediction,7/01/2023,36,56,274400,18.27399511
night,prediction,7/01/2023,37,53,259700,18.78138864
night,prediction,7/01/2023,38,51,249900,18.27257671
night,prediction,7/01/2023,39,53,259700,18.46396469
night,prediction,7/01/2023,40,51,249900,19.34781466
night,prediction,7/01/2023,41,56,274400,19.04260996
night,prediction,7/01/2023,42,162,793800,18.93343475
night,prediction,7/01/2023,43,160,784000,18.6564176
night,prediction,7/01/2023,44,160,784000,18.9005689
night,prediction,7/01/2023,45,162,793800,18.51700792
night,prediction,7/01/2023,46,160,784000,18.17806867
night,prediction,7/01/2023,47,162,793800,18.67336072
night,prediction,7/01/2023,48,162,793800,18.51099139
night,prediction,7/01/2023,49,162,793800,19.22842112
night,prediction,7/01/2023,50,162,793800,19.09648696
night,prediction,7/01/2023,51,162,793800,19.1030308
night,prediction,7/01/2023,52,160,784000,18.22003153
night,prediction,7/01/2023,53,264,1293600,18.46186567
night,prediction,7/01/2023,54,272,1332800,19.21467495
night,prediction,7/01/2023,55,264,1293600,18.93824403
night,prediction,7/01/2023,56,265,1298500,19.3532431
night,prediction,7/01/2023,57,264,1293600,18.71957992
night,prediction,7/01/2023,58,272,1332800,19.31525371
night,prediction,7/01/2023,59,272,1332800,18.10127134
night,prediction,7/01/2023,60,265,1298500,18.65574182
night,prediction,7/01/2023,61,264,1293600,18.13397442
night,prediction,7/01/2023,62,272,1332800,18.61257636
night,prediction,7/01/2023,63,265,1298500,19.03665442
night,prediction,7/01/2023,64,375,1837500,18.96695088
night,prediction,7/01/2023,65,371,1817900,18.95131944
night,prediction,7/01/2023,66,371,1817900,19.17995377
night,prediction,7/01/2023,67,376,1842400,19.01229294
night,prediction,7/01/2023,68,375,1837500,18.97325046
night,prediction,7/01/2023,69,372,1822800,18.50818713
night,prediction,7/01/2023,70,375,1837500,18.44690493
night,prediction,7/01/2023,71,376,1842400,18.63514432
night,prediction,7/01/2023,72,375,1837500,19.2315828
night,prediction,7/01/2023,73,372,1822800,19.01516775
night,prediction,7/01/2023,74,375,1837500,18.10922229
night,prediction,7/01/2023,75,479,2347100,18.59709549
night,prediction,7/01/2023,76,473,2317700,18.87056308
night,prediction,7/01/2023,77,479,2347100,18.15639265
night,prediction,7/01/2023,78,474,2322600,18.58444233
night,prediction,7/01/2023,79,478,2342200,18.63203421
night,prediction,7/01/2023,80,479,2347100,19.28067278
night,prediction,7/01/2023,81,473,2317700,18.60501006
night,prediction,7/01/2023,82,479,2347100,18.56861888
night,prediction,7/01/2023,83,479,2347100,17.41831229
night,prediction,7/01/2023,84,473,2317700,19.01478308
night,prediction,7/01/2023,85,480,2352000,18.61027275
night,prediction,7/01/2023,86,591,2895900,18.63153468
night,prediction,7/01/2023,87,597,2925300,18.29367984
night,prediction,7/01/2023,88,597,2925300,18.74660268
night,prediction,7/01/2023,89,586,2871400,18.51239424
night,prediction,7/01/2023,90,591,2895900,18.92154256
night,prediction,7/01/2023,91,592,2900800,19.0234538
night,prediction,7/01/2023,92,597,2925300,18.21358025
night,prediction,7/01/2023,93,586,2871400,18.30450211
night,prediction,7/01/2023,94,591,2895900,17.4280669
night,prediction,7/01/2023,95,586,2871400,18.46471784
night,prediction,7/01/2023,96,597,2925300,17.62936622
night,prediction,7/01/2023,97,693,3395700,18.53814965
night,prediction,7/01/2023,98,694,3400600,18.47266567
night,prediction,7/01/2023,99,696,3410400,18.51052943
night,prediction,7/01/2023,100,694,3400600,18.8192485
night,prediction,7/01/2023,101,694,3400600,18.82621805
night,prediction,7/01/2023,102,693,3395700,18.63446171
night,prediction,7/01/2023,103,694,3400600,18.27662592
night,prediction,7/01/2023,104,696,3410400,17.9796505
night,prediction,7/01/2023,105,692,3390800,17.61421643
night,prediction,7/01/2023,106,696,3410400,18.87267684
night,prediction,7/01/2023,107,694,3400600,18.14878389
night,prediction,7/01/2023,108,801,3924900,18.69948965
night,prediction,7/01/2023,109,804,3939600,18.17862061
night,prediction,7/01/2023,110,793,3885700,18.47590263
night,prediction,7/01/2023,111,802,3929800,17.97265042
night,prediction,7/01/2023,112,800,3920000,19.52687845
night,prediction,7/01/2023,113,793,3885700,18.56354649
night,prediction,7/01/2023,114,793,3885700,17.64022319
night,prediction,7/01/2023,115,804,3939600,18.03048453
night,prediction,7/01/2023,116,803,3934700,17.20516131
night,prediction,7/01/2023,117,793,3885700,18.31803115
night,prediction,7/01/2023,118,805,3944500,18.72671376
night,prediction,7/01/2023,119,905,4434500,18.33718368
night,prediction,7/01/2023,120,916,4488400,18.73257771
night,prediction,7/01/2023,121,900,4410000,18.06588772
night,prediction,7/01/2023,122,905,4434500,17.94802804
night,prediction,7/01/2023,123,905,4434500,19.64934868
night,prediction,7/01/2023,124,915,4483500,19.00920883
night,prediction,7/01/2023,125,915,4483500,17.19952911
night,prediction,7/01/2023,126,901,4414900,17.1777691
night,prediction,7/01/2023,127,905,4434500,17.30544299
night,prediction,7/01/2023,128,901,4414900,18.46995206
night,prediction,7/01/2023,129,916,4488400,18.20056898
night,prediction,7/01/2023,130,1017,4983300,18.31208397
night,prediction,7/01/2023,131,1016,4978400,18.76123717
night,prediction,7/01/2023,132,1018,4988200,18.27161825
night,prediction,7/01/2023,133,1015,4973500,19.8864317
night,prediction,7/01/2023,134,1015,4973500,17.52207007
night,prediction,7/01/2023,135,1016,4978400,19.09274257
night,prediction,7/01/2023,136,1017,4983300,17.43992717
night,prediction,7/01/2023,137,1017,4983300,17.54930096
night,prediction,7/01/2023,138,1017,4983300,17.07501882
night,prediction,7/01/2023,139,1017,4983300,18.21329387
night,prediction,7/01/2023,140,1016,4978400,18.52093361
night,prediction,7/01/2023,141,1120,5488000,17.95748675
night,prediction,7/01/2023,142,1109,5434100,19.13418883
night,prediction,7/01/2023,143,1108,5429200,17.03678378
night,prediction,7/01/2023,144,1117,5473300,19.63644645
night,prediction,7/01/2023,145,1122,5497800,17.11649916
night,prediction,7/01/2023,146,1123,5502700,17.15300214
night,prediction,7/01/2023,147,1119,5483100,18.42592429
night,prediction,7/01/2023,148,1111,5443900,18.51234152
night,prediction,7/01/2023,149,1116,5468400,16.42177992
night,prediction,7/01/2023,150,1111,5443900,18.38502162
night,prediction,7/01/2023,151,1120,5488000,18.3972243
night,prediction,7/01/2023,152,1228,6017200,18.22931566
night,prediction,7/01/2023,153,1228,6017200,18.22017332
night,prediction,7/01/2023,154,1224,5997600,18.09575502
night,prediction,7/01/2023,155,1234,6046600,19.09917249
night,prediction,7/01/2023,156,1227,6012300,17.31980753
night,prediction,7/01/2023,157,1227,6012300,18.73688342
night,prediction,7/01/2023,158,1228,6017200,17.16723916
night,prediction,7/01/2023,159,1224,5997600,16.905299
night,prediction,7/01/2023,160,1234,6046600,16.24899716
night,prediction,7/01/2023,161,1224,5997600,17.53634517
night,prediction,7/01/2023,162,1228,6017200,18.60716766
night,prediction,7/01/2023,163,1332,6526800,17.78853798
night,prediction,7/01/2023,164,1340,6566000,18.66157603
night,prediction,7/01/2023,165,1332,6526800,18.14759078
night,prediction,7/01/2023,166,1330,6517000,18.79603341
night,prediction,7/01/2023,167,1334,6536600,17.55158009
night,prediction,7/01/2023,168,1343,6580700,18.48737482
night,prediction,7/01/2023,169,1342,6575800,16.73773587
night,prediction,7/01/2023,170,1333,6531700,16.56133696
night,prediction,7/01/2023,171,1329,6512100,16.10923187
night,prediction,7/01/2023,172,1332,6526800,17.49188745
night,prediction,7/01/2023,173,1342,6575800,18.47055963
night,prediction,7/01/2023,174,1441,7060900,17.25530062
night,prediction,7/01/2023,175,1453,7119700,18.00654011
night,prediction,7/01/2023,176,1442,7065800,18.83754654
night,prediction,7/01/2023,177,1441,7060900,18.31457969
night,prediction,7/01/2023,178,1443,7070700,18.84970378
night,prediction,7/01/2023,179,1439,7051100,17.57816517
night,prediction,7/01/2023,180,1444,7075600,16.18874305
night,prediction,7/01/2023,181,1448,7095200,15.80377047
night,prediction,7/01/2023,182,1443,7070700,18.70648623
night,prediction,7/01/2023,183,1444,7075600,15.72659005
night,prediction,7/01/2023,184,1451,7109900,17.40356636
night,prediction,7/01/2023,185,1545,7570500,17.51424575
night,prediction,7/01/2023,186,1546,7575400,18.43455201
night,prediction,7/01/2023,187,1544,7565600,18.43778376
night,prediction,7/01/2023,188,1545,7570500,18.91788567
night,prediction,7/01/2023,189,1543,7560700,16.83093388
night,prediction,7/01/2023,190,1543,7560700,16.04939249
night,prediction,7/01/2023,191,1546,7575400,20.79797271
night,prediction,7/01/2023,192,1547,7580300,15.43249368
