temporal,use,date,ID,COUNT,AREA,MEAN
night,base,27/01/2023,361,1,4900,20.231148
night,prediction,27/01/2023,1,56,274400,20.03588748
night,prediction,27/01/2023,2,162,793800,19.90613723
night,prediction,27/01/2023,3,265,1298500,19.96919636
night,prediction,27/01/2023,4,375,1837500,20.01133919
night,prediction,27/01/2023,5,481,2356900,20.7026754
night,prediction,27/01/2023,6,586,2871400,20.47408297
night,prediction,27/01/2023,7,696,3410400,21.47693409
night,prediction,27/01/2023,8,805,3944500,23.16841744
night,prediction,27/01/2023,9,901,4414900,23.37563996
night,prediction,27/01/2023,10,1018,4988200,22.50500282
night,prediction,27/01/2023,11,1121,5492900,22.04529987
night,prediction,27/01/2023,12,1225,6002500,22.59035529
night,prediction,27/01/2023,13,1334,6536600,22.87019755
night,prediction,27/01/2023,14,1447,7090300,22.63578765
night,prediction,27/01/2023,15,1548,7585200,22.51157706
night,prediction,27/01/2023,16,1650,8085000,22.18524642
night,prediction,27/01/2023,17,1775,8697500,17.59838565
night,prediction,27/01/2023,18,1870,9163000,21.8983602
night,prediction,27/01/2023,19,1972,9662800,21.8339472
night,prediction,27/01/2023,20,2061,10098900,21.66400716
night,prediction,27/01/2023,21,1287,6306300,21.01129022
night,prediction,27/01/2023,22,687,3366300,20.21763126
night,prediction,27/01/2023,23,272,1332800,20.02563482
night,prediction,27/01/2023,24,11,53900,19.6913844
night,prediction,27/01/2023,31,53,259700,19.72237108
night,prediction,27/01/2023,32,51,249900,20.07417739
night,prediction,27/01/2023,33,56,274400,20.72447307
night,prediction,27/01/2023,34,51,249900,20.35129487
night,prediction,27/01/2023,35,53,259700,20.31199884
night,prediction,27/01/2023,36,56,274400,19.61860653
night,prediction,27/01/2023,37,53,259700,20.15952197
night,prediction,27/01/2023,38,51,249900,19.80980219
night,prediction,27/01/2023,39,53,259700,19.94988697
night,prediction,27/01/2023,40,51,249900,20.69312862
night,prediction,27/01/2023,41,56,274400,20.38495714
night,prediction,27/01/2023,42,162,793800,20.16983478
night,prediction,27/01/2023,43,160,784000,19.97219995
night,prediction,27/01/2023,44,160,784000,20.35555638
night,prediction,27/01/2023,45,162,793800,19.87963793
night,prediction,27/01/2023,46,160,784000,19.35214158
night,prediction,27/01/2023,47,162,793800,20.1807992
night,prediction,27/01/2023,48,162,793800,19.80241572
night,prediction,27/01/2023,49,162,793800,20.65914402
night,prediction,27/01/2023,50,162,793800,20.45130568
night,prediction,27/01/2023,51,162,793800,20.46910086
night,prediction,27/01/2023,52,160,784000,19.68738875
night,prediction,27/01/2023,53,264,1293600,19.68396641
night,prediction,27/01/2023,54,272,1332800,20.51380662
night,prediction,27/01/2023,55,264,1293600,20.28978421
night,prediction,27/01/2023,56,265,1298500,20.70023643
night,prediction,27/01/2023,57,264,1293600,20.0868255
night,prediction,27/01/2023,58,272,1332800,20.71997917
night,prediction,27/01/2023,59,272,1332800,19.31503026
night,prediction,27/01/2023,60,265,1298500,19.95255046
night,prediction,27/01/2023,61,264,1293600,19.66139659
night,prediction,27/01/2023,62,272,1332800,20.04447776
night,prediction,27/01/2023,63,265,1298500,20.31603408
night,prediction,27/01/2023,64,375,1837500,20.18021446
night,prediction,27/01/2023,65,371,1817900,20.38503259
night,prediction,27/01/2023,66,371,1817900,20.51301295
night,prediction,27/01/2023,67,376,1842400,20.40439774
night,prediction,27/01/2023,68,375,1837500,20.34743472
night,prediction,27/01/2023,69,372,1822800,19.56006688
night,prediction,27/01/2023,70,375,1837500,19.77802907
night,prediction,27/01/2023,71,376,1842400,19.64882269
night,prediction,27/01/2023,72,375,1837500,20.4570464
night,prediction,27/01/2023,73,372,1822800,20.32330093
night,prediction,27/01/2023,74,375,1837500,19.37421859
night,prediction,27/01/2023,75,479,2347100,19.83598361
night,prediction,27/01/2023,76,473,2317700,20.31402112
night,prediction,27/01/2023,77,479,2347100,19.75178635
night,prediction,27/01/2023,78,474,2322600,20.00537492
night,prediction,27/01/2023,79,478,2342200,19.89659428
night,prediction,27/01/2023,80,479,2347100,20.6205113
night,prediction,27/01/2023,81,473,2317700,19.48636528
night,prediction,27/01/2023,82,479,2347100,19.28037253
night,prediction,27/01/2023,83,479,2347100,18.33697336
night,prediction,27/01/2023,84,473,2317700,20.18149806
night,prediction,27/01/2023,85,480,2352000,19.59606335
night,prediction,27/01/2023,86,591,2895900,19.77061506
night,prediction,27/01/2023,87,597,2925300,19.90244813
night,prediction,27/01/2023,88,597,2925300,20.2486931
night,prediction,27/01/2023,89,586,2871400,20.16745644
night,prediction,27/01/2023,90,591,2895900,20.35288155
night,prediction,27/01/2023,91,592,2900800,20.14791165
night,prediction,27/01/2023,92,597,2925300,18.75030785
night,prediction,27/01/2023,93,586,2871400,18.8525435
night,prediction,27/01/2023,94,591,2895900,18.0490548
night,prediction,27/01/2023,95,586,2871400,19.14920057
night,prediction,27/01/2023,96,597,2925300,18.21379557
night,prediction,27/01/2023,97,693,3395700,19.67768395
night,prediction,27/01/2023,98,694,3400600,20.17722379
night,prediction,27/01/2023,99,696,3410400,20.19189362
night,prediction,27/01/2023,100,694,3400600,20.29885627
night,prediction,27/01/2023,101,694,3400600,20.38747502
night,prediction,27/01/2023,102,693,3395700,19.68937337
night,prediction,27/01/2023,103,694,3400600,18.80242826
night,prediction,27/01/2023,104,696,3410400,18.57661055
night,prediction,27/01/2023,105,692,3390800,18.04801156
night,prediction,27/01/2023,106,696,3410400,19.68023207
night,prediction,27/01/2023,107,694,3400600,18.64262695
night,prediction,27/01/2023,108,801,3924900,19.85009231
night,prediction,27/01/2023,109,804,3939600,19.84110671
night,prediction,27/01/2023,110,793,3885700,20.27565854
night,prediction,27/01/2023,111,802,3929800,19.06241678
night,prediction,27/01/2023,112,800,3920000,21.08075041
night,prediction,27/01/2023,113,793,3885700,20.14778794
night,prediction,27/01/2023,114,793,3885700,18.16801252
night,prediction,27/01/2023,115,804,3939600,18.52731616
night,prediction,27/01/2023,116,803,3934700,17.64195609
night,prediction,27/01/2023,117,793,3885700,18.98507213
night,prediction,27/01/2023,118,805,3944500,19.70004042
night,prediction,27/01/2023,119,905,4434500,19.6179284
night,prediction,27/01/2023,120,916,4488400,20.59800126
night,prediction,27/01/2023,121,900,4410000,19.87549973
night,prediction,27/01/2023,122,905,4434500,19.13954046
night,prediction,27/01/2023,123,905,4434500,21.23156998
night,prediction,27/01/2023,124,915,4483500,20.59129557
night,prediction,27/01/2023,125,915,4483500,17.69529955
night,prediction,27/01/2023,126,901,4414900,16.98434177
night,prediction,27/01/2023,127,905,4434500,17.75691392
night,prediction,27/01/2023,128,901,4414900,19.53788862
night,prediction,27/01/2023,129,916,4488400,18.94145923
night,prediction,27/01/2023,130,1017,4983300,19.68056759
night,prediction,27/01/2023,131,1016,4978400,20.72712717
night,prediction,27/01/2023,132,1018,4988200,20.16023116
night,prediction,27/01/2023,133,1015,4973500,21.59528045
night,prediction,27/01/2023,134,1015,4973500,18.62884446
night,prediction,27/01/2023,135,1016,4978400,20.81476713
night,prediction,27/01/2023,136,1017,4983300,18.36722613
night,prediction,27/01/2023,137,1017,4983300,17.53146245
night,prediction,27/01/2023,138,1017,4983300,17.40378911
night,prediction,27/01/2023,139,1017,4983300,19.27969152
night,prediction,27/01/2023,140,1016,4978400,19.25339438
night,prediction,27/01/2023,141,1120,5488000,19.32514334
night,prediction,27/01/2023,142,1109,5434100,20.72916224
night,prediction,27/01/2023,143,1108,5429200,18.19460328
night,prediction,27/01/2023,144,1117,5473300,21.41778799
night,prediction,27/01/2023,145,1122,5497800,17.22045903
night,prediction,27/01/2023,146,1123,5502700,18.32418121
night,prediction,27/01/2023,147,1119,5483100,20.35042358
night,prediction,27/01/2023,148,1111,5443900,20.60789369
night,prediction,27/01/2023,149,1116,5468400,16.47928833
night,prediction,27/01/2023,150,1111,5443900,18.97578542
night,prediction,27/01/2023,151,1120,5488000,19.45773404
