temporal,use,date,ID,COUNT,AREA,MEAN
night,base,25/12/2022,1,10267.00000000000,50308300.00000000000,21.39222275740
night,base,25/12/2022,2,482.00000000000,2361800.00000000000,20.86639676550
night,base,25/12/2022,3,585.00000000000,2866500.00000000000,20.71581822580
night,base,25/12/2022,4,694.00000000000,3400600.00000000000,20.51138952070
night,base,25/12/2022,5,803.00000000000,3934700.00000000000,20.98255922310
night,base,25/12/2022,6,912.00000000000,4468800.00000000000,20.88307671800
night,base,25/12/2022,7,1012.00000000000,4958800.00000000000,20.31549989000
night,base,25/12/2022,8,1118.00000000000,5478200.00000000000,21.14464008150
night,base,25/12/2022,9,1225.00000000000,6002500.00000000000,21.34901028380
night,base,25/12/2022,10,1332.00000000000,6526800.00000000000,20.59658304850
night,base,25/12/2022,12,1548.00000000000,7585200.00000000000,20.85952853420
night,base,25/12/2022,13,1653.00000000000,8099700.00000000000,20.83017588090
night,base,25/12/2022,14,1767.00000000000,8658300.00000000000,21.26509461240
night,base,25/12/2022,15,1867.00000000000,9148300.00000000000,20.70848478250
night,base,25/12/2022,16,1977.00000000000,9687300.00000000000,20.77860552910
night,base,25/12/2022,17,2083.00000000000,10206700.00000000000,20.70758636810
night,base,25/12/2022,19,2293.00000000000,11235700.00000000000,20.54274027410
night,base,25/12/2022,20,2402.00000000000,11769800.00000000000,20.23246232790
night,base,25/12/2022,21,2514.00000000000,12318600.00000000000,19.91906763770
night,base,25/12/2022,22,2416.00000000000,11838400.00000000000,19.46877274920
night,base,25/12/2022,23,2220.00000000000,10878000.00000000000,18.89315005470
night,base,25/12/2022,24,2035.00000000000,9971500.00000000000,18.54572119560
night,base,25/12/2022,25,1879.00000000000,9207100.00000000000,18.87709471750
night,base,25/12/2022,26,1728.00000000000,8467200.00000000000,18.51418435130
night,base,25/12/2022,27,1579.00000000000,7737100.00000000000,18.51531363950
night,base,25/12/2022,28,1442.00000000000,7065800.00000000000,18.26189277640
night,base,25/12/2022,29,1290.00000000000,6321000.00000000000,18.18276570640
night,base,25/12/2022,30,888.00000000000,4351200.00000000000,18.22937482540
night,base,25/12/2022,31,431.00000000000,2111900.00000000000,18.05580737470
night,base,25/12/2022,32,51.00000000000,249900.00000000000,17.58961516740
night,base,25/12/2022,33,479.00000000000,2347100.00000000000,20.18487032770
night,base,25/12/2022,34,594.00000000000,2910600.00000000000,19.98179061320
night,base,25/12/2022,35,693.00000000000,3395700.00000000000,20.07644199740
night,base,25/12/2022,36,799.00000000000,3915100.00000000000,20.19260976550
night,base,25/12/2022,37,913.00000000000,4473700.00000000000,20.24190124310
night,base,25/12/2022,38,1016.00000000000,4978400.00000000000,20.17900256660
night,base,25/12/2022,39,1115.00000000000,5463500.00000000000,20.02819495780
night,base,25/12/2022,40,1227.00000000000,6012300.00000000000,19.96131828580
night,base,25/12/2022,41,1336.00000000000,6546400.00000000000,20.04142825190
night,base,25/12/2022,42,1546.00000000000,7575400.00000000000,19.42516795720
night,base,25/12/2022,43,1657.00000000000,8119300.00000000000,19.42346432670
night,base,25/12/2022,44,1764.00000000000,8643600.00000000000,19.32969973470
night,base,25/12/2022,45,1865.00000000000,9138500.00000000000,18.75443514500
night,base,25/12/2022,46,1979.00000000000,9697100.00000000000,19.10447826260
night,base,25/12/2022,47,2080.00000000000,10192000.00000000000,18.84416922060
night,base,25/12/2022,48,2303.00000000000,11284700.00000000000,18.55639734570
night,base,25/12/2022,49,2402.00000000000,11769800.00000000000,17.84514336500
night,base,25/12/2022,50,2506.00000000000,12279400.00000000000,17.88875273560
night,base,25/12/2022,51,2619.00000000000,12833100.00000000000,18.26271326880
night,base,25/12/2022,52,2735.00000000000,13401500.00000000000,17.77296771900
night,base,25/12/2022,53,2824.00000000000,13837600.00000000000,17.37254847890
night,base,25/12/2022,54,2866.00000000000,14043400.00000000000,17.09648222830
night,base,25/12/2022,55,1902.00000000000,9319800.00000000000,16.68059490860
night,base,25/12/2022,56,1230.00000000000,6027000.00000000000,16.60525820350
night,base,25/12/2022,57,755.00000000000,3699500.00000000000,16.34457486390
night,base,25/12/2022,58,355.00000000000,1739500.00000000000,16.23271054550
night,base,25/12/2022,59,44.00000000000,215600.00000000000,16.52682495120
night,base,25/12/2022,62,1442.00000000000,7065800.00000000000,19.85264098530
night,base,25/12/2022,63,2189.00000000000,10726100.00000000000,18.89479397440
night,base,25/12/2022,64,480.00000000000,2352000.00000000000,19.98008956910
night,base,25/12/2022,65,588.00000000000,2881200.00000000000,19.70568588150
night,base,25/12/2022,66,695.00000000000,3405500.00000000000,19.95276910800
night,base,25/12/2022,67,800.00000000000,3920000.00000000000,20.19578044890
night,base,25/12/2022,68,910.00000000000,4459000.00000000000,20.58169807180
night,base,25/12/2022,69,1015.00000000000,4973500.00000000000,20.17150328690
night,base,25/12/2022,70,1118.00000000000,5478200.00000000000,20.12918331030
night,base,25/12/2022,71,1223.00000000000,5992700.00000000000,20.23657972660
night,base,25/12/2022,72,1341.00000000000,6570900.00000000000,20.27633029790
night,base,25/12/2022,73,1543.00000000000,7560700.00000000000,19.82870983780
night,base,25/12/2022,74,1651.00000000000,8089900.00000000000,19.49051478180
night,base,25/12/2022,75,1771.00000000000,8677900.00000000000,19.69911982200
night,base,25/12/2022,76,1865.00000000000,9138500.00000000000,19.65615113290
night,base,25/12/2022,77,1967.00000000000,9638300.00000000000,19.39649337360
night,base,25/12/2022,78,2095.00000000000,10265500.00000000000,18.99921880830
night,base,25/12/2022,79,2288.00000000000,11211200.00000000000,18.82590623340
night,base,25/12/2022,80,2409.00000000000,11804100.00000000000,18.78639424520
night,base,25/12/2022,81,2518.00000000000,12338200.00000000000,18.62697193490
night,base,25/12/2022,82,2608.00000000000,12779200.00000000000,17.86347191470
night,base,25/12/2022,83,2718.00000000000,13318200.00000000000,18.09393526120
night,base,25/12/2022,84,2849.00000000000,13960100.00000000000,18.10912860990
night,base,25/12/2022,85,2808.00000000000,13759200.00000000000,17.24341825610
night,base,25/12/2022,86,1647.00000000000,8070300.00000000000,17.14029099280
night,base,25/12/2022,87,966.00000000000,4733400.00000000000,17.18089619830
night,base,25/12/2022,88,484.00000000000,2371600.00000000000,17.46785679340
night,base,25/12/2022,89,93.00000000000,455700.00000000000,18.72334010630
night,base,25/12/2022,93,1444.00000000000,7075600.00000000000,20.34644649430
night,base,25/12/2022,94,2187.00000000000,10716300.00000000000,19.04427224270
night,base,25/12/2022,95,482.00000000000,2361800.00000000000,20.68751652510
night,base,25/12/2022,96,584.00000000000,2861600.00000000000,20.96757439390
night,base,25/12/2022,97,694.00000000000,3400600.00000000000,20.99271469780
night,base,25/12/2022,98,804.00000000000,3939600.00000000000,21.21244318570
night,base,25/12/2022,99,905.00000000000,4434500.00000000000,21.34428208490
night,base,25/12/2022,100,1015.00000000000,4973500.00000000000,21.08626224910
night,base,25/12/2022,101,1115.00000000000,5463500.00000000000,20.83526173410
night,base,25/12/2022,102,1228.00000000000,6017200.00000000000,21.10969642860
night,base,25/12/2022,103,1337.00000000000,6551300.00000000000,21.28656578780
night,base,25/12/2022,104,1543.00000000000,7560700.00000000000,21.36226768270
night,base,25/12/2022,105,1655.00000000000,8109500.00000000000,21.27540797670
night,base,25/12/2022,106,1761.00000000000,8628900.00000000000,21.04247624030
night,base,25/12/2022,107,1863.00000000000,9128700.00000000000,21.14527164940
night,base,25/12/2022,108,1976.00000000000,9682400.00000000000,21.01226340230
night,base,25/12/2022,109,2084.00000000000,10211600.00000000000,20.85788483720
night,base,25/12/2022,110,1005.00000000000,4924500.00000000000,20.10059328600
night,base,25/12/2022,111,515.00000000000,2523500.00000000000,19.68293818500
night,base,25/12/2022,112,135.00000000000,661500.00000000000,20.02941103330
night,base,25/12/2022,124,1445.00000000000,7080500.00000000000,21.46273989560
night,base,25/12/2022,125,1450.00000000000,7105000.00000000000,21.17328928980
night,base,25/12/2022,126,1853.00000000000,9079700.00000000000,20.86804169570
night,base,25/12/2022,127,2193.00000000000,10745700.00000000000,20.45369031970
night,base,25/12/2022,128,480.00000000000,2352000.00000000000,20.33750584920
night,base,25/12/2022,129,473.00000000000,2317700.00000000000,20.42353643370
