id,distance,direction,area
361,0,15,0.90000000000
1,1,165,26.15886833370
2,2,165,78.53208878880
3,3,165,130.91665014100
4,4,165,183.31042172400
5,5,165,235.67512648900
6,6,165,288.05971691400
7,7,165,340.40027276000
8,8,165,392.82592848800
9,9,165,445.20954897000
10,10,165,497.53487060800
11,11,165,547.15272729400
12,12,165,601.75272232600
13,13,165,654.07737569600
14,14,165,707.43771862700
15,15,165,758.87913340500
16,16,165,811.21354441600
17,17,285,864.78349313600
18,18,165,916.00817159800
19,19,165,968.34894796700
20,20,165,1020.68951414000
21,21,165,1074.54249828000
22,22,165,1125.51728983000
23,23,165,1177.86387697000
24,24,165,1230.21017942000
25,25,165,1282.55619820000
26,26,165,1336.58970649000
27,27,165,1387.37977943000
28,28,165,1439.72993438000
29,29,165,1492.07985236000
30,30,285,1544.44064199000
31,1,225,26.14216229040
32,1,195,26.14848655440
33,1,75,26.14897691600
34,1,105,26.14898029670
35,1,45,26.14929193530
36,1,255,26.14931253730
37,1,135,26.14931784200
38,1,285,26.14932064100
39,1,315,26.14956778720
40,1,15,26.14993404730
41,1,345,26.15006889710
42,2,225,78.48659390410
43,2,195,78.50169544050
44,2,105,78.50475765090
45,2,45,78.50514049830
46,2,15,78.50635058000
47,2,315,78.50658823800
48,2,255,78.50694018670
49,2,345,78.50705113290
50,2,135,78.50725965150
51,2,75,78.50762126600
52,2,285,78.50979087790
53,3,225,130.83419649000
54,3,195,130.86576416800
55,3,135,130.86681689300
56,3,75,130.86808950200
57,3,45,130.86909606100
58,3,105,130.87064363200
59,3,15,130.87123026700
60,3,345,130.87283572700
61,3,315,130.87339100100
62,3,285,130.87356057000
63,3,255,130.87662654000
64,4,225,183.20276039800
65,4,195,183.24118143900
66,4,105,183.24295555600
67,4,75,183.24442103200
68,4,135,183.24618194600
69,4,15,183.24691931500
70,4,45,183.24815824900
71,4,345,183.24991072000
72,4,255,183.25365874100
73,4,285,183.25576325700
74,4,315,183.25642591900
75,5,225,235.53782450000
76,5,195,235.58630656600
77,5,75,235.58668179900
78,5,105,235.58828454900
79,5,45,235.58982695100
80,5,135,235.59146600700
81,5,15,235.59702684900
82,5,345,235.60194530600
83,5,315,235.60335968100
84,5,285,235.60523004400
85,5,255,235.60687598900
86,6,225,287.89371675700
87,6,105,287.95234244900
88,6,195,287.95357482100
89,6,75,287.95448732200
90,6,135,287.95480403300
91,6,45,287.95755483100
92,6,15,287.96062297400
93,6,345,287.96811635500
94,6,315,287.97763016800
95,6,255,287.97947322100
96,6,285,287.98177961800
97,7,225,340.20677468100
98,7,105,340.27063570000
99,7,75,340.27154933400
100,7,135,340.27529658600
101,7,195,340.27606386700
102,7,45,340.27667864800
103,7,15,340.28475184300
104,7,345,340.29514151900
105,7,315,340.30476191500
106,7,255,340.30878329300
107,7,285,340.30980308100
108,8,225,392.60908770900
109,8,75,392.67412815100
110,8,105,392.67714695400
111,8,45,392.68181100100
112,8,135,392.68328375200
113,8,195,392.68342337500
114,8,15,392.69583713600
115,8,345,392.70971226900
116,8,315,392.71828801400
117,8,285,392.72591269100
118,8,255,392.72787647700
119,9,225,444.96754561300
120,9,105,445.03456725200
121,9,75,445.04027732900
122,9,45,445.04436449200
123,9,135,445.04763034800
124,9,195,445.05299325000
125,9,15,445.06189049000
126,9,345,445.07943620400
127,9,315,445.09265447500
128,9,255,445.10075138700
129,9,285,445.10515326500
130,10,225,497.26622869300
131,10,105,497.33739136400
132,10,75,497.33893008300
133,10,135,497.34846906600
134,10,45,497.34889079700
135,10,195,497.36091515900
136,10,15,497.36806199900
137,10,345,497.39011224600
138,10,315,497.40865149000
139,10,255,497.41904673800
140,10,285,497.42066506100
141,11,225,546.90316229400
142,11,195,546.95666261300
143,11,15,546.96183594500
144,11,135,546.98947684500
145,11,345,546.99220920700
146,11,45,546.99263223400
147,11,75,547.00070872200
148,11,105,547.00681307000
149,11,315,547.06835891900
150,11,285,547.10048277000
151,11,255,547.10469891000
152,12,225,601.44583667700
153,12,105,601.52115809400
154,12,75,601.52163111300
155,12,135,601.53112666900
156,12,45,601.53244591500
157,12,195,601.54695244200
158,12,15,601.54999425500
159,12,345,601.58289843600
160,12,315,601.62047408100
161,12,255,601.64031557300
162,12,285,601.64126025000
163,13,225,653.74934840800
164,13,105,653.82198178100
165,13,75,653.82255494700
166,13,135,653.83412952400
167,13,45,653.83572437800
168,13,195,653.85700457400
169,13,15,653.85724653300
170,13,345,653.89603944200
171,13,315,653.93965453800
172,13,255,653.96274636600
173,13,285,653.96382495900
174,14,225,706.90820427300
175,14,75,706.91139115800
176,14,135,706.99344984000
177,14,285,707.07710522300
178,14,105,707.09959288300
179,14,45,707.14434808800
180,14,15,707.15243980500
181,14,345,707.20096545700
182,14,195,707.22332040800
