distance,id,direction,area,buffer_number
5,2,45,235.4594715,1
6,3,45,287.9311057,2
7,4,45,340.2460017,3
8,5,45,392.6466286,4
9,6,45,445.005825,5
10,7,45,497.3064088,6
11,8,75,546.9535538,7
12,9,45,601.4833346,8
13,10,45,653.7833582,9
15,12,45,758.530335,11
16,13,45,810.8392654,12
17,14,75,864.4694557,13
18,15,45,915.5706951,14
19,16,45,967.8848698,15
20,17,45,1020.198666,16
22,19,45,1124.962547,18
23,20,45,1177.281459,19
24,21,45,1229.599913,20
25,22,45,1281.917963,21
26,23,45,1335.98319,22
27,24,45,1386.689827,23
28,25,45,1439.011821,24
29,26,45,1491.333444,25
30,27,45,1543.65457,26
31,28,45,1595.975334,27
32,29,45,1650.668683,28
33,30,45,1700.766288,29
34,31,45,1753.090484,30
35,32,45,1805.414293,31
5,33,345,235.4989571,1
6,34,345,287.9667189,2
7,35,345,340.2921238,3
8,36,345,392.704955,4
9,37,345,445.072997,5
10,38,345,497.3817904,6
11,39,345,546.9804406,7
12,40,345,601.57042,8
13,41,345,653.8815557,9
15,42,345,758.6508901,11
16,43,345,810.9727028,12
17,44,345,864.481231,13
18,45,345,915.760657,14
19,46,345,968.0912875,15
20,47,345,1020.422168,16
22,48,345,1125.221187,18
23,49,345,1177.559006,19
24,50,345,1229.897069,20
25,51,345,1282.235252,21
26,52,345,1336.263599,22
27,53,345,1387.04481,23
28,54,345,1439.388689,24
29,55,345,1491.732693,25
30,56,345,1544.076956,26
31,57,345,1596.421401,27
32,58,345,1650.893112,28
33,59,345,1701.245962,29
34,60,345,1753.595236,30
35,61,345,1805.944664,31
14,62,345,707.182907,10
21,63,345,1074.155771,17
5,64,15,235.4750977,1
6,65,15,287.9424856,2
7,66,15,340.2635217,3
8,67,15,392.6716186,4
9,68,15,445.0346099,5
10,69,15,497.3379346,6
11,70,15,546.9305831,7
12,71,15,601.514606,8
13,72,15,653.8192399,9
15,73,15,758.5744377,11
16,74,15,810.8886675,12
17,75,15,864.3893784,13
18,76,15,915.6604237,14
19,77,15,967.9823693,15
20,78,15,1020.304262,16
22,79,15,1125.084181,18
23,80,15,1177.411947,19
24,81,15,1229.739481,20
25,82,15,1282.066939,21
26,83,15,1336.084049,22
