p_id,source,date,lst_pred,Time_AEDT,temporal,use
400,prws,03/12/2022,33.75179672,2022-12-03 11:00:00,day,prediction
200,prws,03/12/2022,37.28904136,2022-12-03 11:00:00,day,prediction
600,prws,03/12/2022,37.69776009,2022-12-03 11:00:00,day,prediction
500,prws,03/12/2022,38.2418583,2022-12-03 11:00:00,day,prediction
300,prws,03/12/2022,35.6787227,2022-12-03 11:00:00,day,prediction
400,prws,27/12/2022,36.00956793,2022-12-27 11:00:00,day,prediction
200,prws,27/12/2022,39.43109587,2022-12-27 11:00:00,day,prediction
600,prws,27/12/2022,41.72130393,2022-12-27 11:00:00,day,prediction
500,prws,27/12/2022,38.05042706,2022-12-27 11:00:00,day,prediction
300,prws,27/12/2022,38.51089437,2022-12-27 11:00:00,day,prediction
400,prws,27/01/2023,33.09847833,2023-01-27 11:00:00,day,prediction
200,prws,27/01/2023,33.13559066,2023-01-27 11:00:00,day,prediction
600,prws,27/01/2023,35.42469618,2023-01-27 11:00:00,day,prediction
500,prws,27/01/2023,30.47787423,2023-01-27 11:00:00,day,prediction
300,prws,27/01/2023,30.36335664,2023-01-27 11:00:00,day,prediction
400,prws,07/01/2023,33.75180054,2023-01-07 11:00:00,day,base
200,prws,07/01/2023,35.80310059,2023-01-07 11:00:00,day,base
600,prws,07/01/2023,39.19950104,2023-01-07 11:00:00,day,base
500,prws,07/01/2023,33.75630188,2023-01-07 11:00:00,day,base
300,prws,07/01/2023,33.66030121,2023-01-07 11:00:00,day,base
400,prws,03/12/2022,18.24473404,2022-12-04 00:00:00,night,prediction
200,prws,03/12/2022,19.70418477,2022-12-04 00:00:00,night,prediction
600,prws,03/12/2022,20.09103566,2022-12-04 00:00:00,night,prediction
500,prws,03/12/2022,21.68088981,2022-12-04 00:00:00,night,prediction
300,prws,03/12/2022,20.64933828,2022-12-04 00:00:00,night,prediction
400,prws,27/12/2022,24.55006987,2022-12-28 00:00:00,night,prediction
200,prws,27/12/2022,26.22361185,2022-12-28 00:00:00,night,prediction
600,prws,27/12/2022,27.54385828,2022-12-28 00:00:00,night,prediction
500,prws,27/12/2022,27.39234288,2022-12-28 00:00:00,night,prediction
300,prws,27/12/2022,26.46378363,2022-12-28 00:00:00,night,prediction
400,prws,07/01/2023,15.57719565,2023-01-08 00:00:00,night,prediction
200,prws,07/01/2023,17.09514447,2023-01-08 00:00:00,night,prediction
600,prws,07/01/2023,17.99231992,2023-01-08 00:00:00,night,prediction
500,prws,07/01/2023,19.21894647,2023-01-08 00:00:00,night,prediction
300,prws,07/01/2023,17.92843145,2023-01-08 00:00:00,night,prediction
400,prws,27/01/2023,16.50122439,2023-01-28 00:00:00,night,prediction
200,prws,27/01/2023,18.23918316,2023-01-28 00:00:00,night,prediction
600,prws,27/01/2023,19.31655903,2023-01-28 00:00:00,night,prediction
500,prws,27/01/2023,20.88396072,2023-01-28 00:00:00,night,prediction
300,prws,27/01/2023,19.845322,2023-01-28 00:00:00,night,prediction
400,prws,25/12/2022,18.09000015,2022-12-26 00:00:00,night,base
200,prws,25/12/2022,18.19000053,2022-12-26 00:00:00,night,base
600,prws,25/12/2022,19.11000061,2022-12-26 00:00:00,night,base
500,prws,25/12/2022,20.79000092,2022-12-26 00:00:00,night,base
300,prws,25/12/2022,20.64999962,2022-12-26 00:00:00,night,base
400,prws,08/01/2021,34.040000915527344,2021-01-08 11:00:00,day,reference
200,prws,08/01/2021,35.39649963378906,2021-01-08 11:00:00,day,reference
600,prws,08/01/2021,36.87089920043945,2021-01-08 11:00:00,day,reference
500,prws,08/01/2021,32.83140182495117,2021-01-08 11:00:00,day,reference
300,prws,08/01/2021,33.41640090942383,2021-01-08 11:00:00,day,reference
400,prws,19/01/2022,37.7507820681,2022-01-19 11:00:00,day,reference
200,prws,19/01/2022,38.1705013416,2022-01-19 11:00:00,day,reference
600,prws,19/01/2022,33.4279964377,2022-01-19 11:00:00,day,reference
500,prws,19/01/2022,32.5489290874,2022-01-19 11:00:00,day,reference
300,prws,19/01/2022,39.1050631065,2022-01-19 11:00:00,day,reference
400,prws,20/01/2022,38.2905695062,2022-01-20 11:00:00,day,reference
200,prws,20/01/2022,38.6013659287,2022-01-20 11:00:00,day,reference
600,prws,20/01/2022,37.0676526837,2022-01-20 11:00:00,day,reference
500,prws,20/01/2022,35.008756112,2022-01-20 11:00:00,day,reference
300,prws,20/01/2022,39.0731895686,2022-01-20 11:00:00,day,reference
400,prws,12/12/2021,17.350000381469727,2021-12-13 00:00:00,night,reference
200,prws,12/12/2021,17.06999969482422,2021-12-13 00:00:00,night,reference
600,prws,12/12/2021,18.56999969482422,2021-12-13 00:00:00,night,reference
500,prws,12/12/2021,19.489999771118164,2021-12-13 00:00:00,night,reference
300,prws,12/12/2021,18.90999984741211,2021-12-13 00:00:00,night,reference
400,prws,09/02/2023,18.3700008392334,2023-02-10 00:00:00,night,reference
200,prws,09/02/2023,18.82999992370605,2023-02-10 00:00:00,night,reference
600,prws,09/02/2023,18.350000381469727,2023-02-10 00:00:00,night,reference
500,prws,09/02/2023,20.049999237060547,2023-02-10 00:00:00,night,reference
300,prws,09/02/2023,-9999.0,2023-02-10 00:00:00,night,reference
