p_id,source,date,lst_pred
1004,cws,3/12/2022,33.19805767
1010,cws,3/12/2022,37.63921981
1011,cws,3/12/2022,37.36344735
1016,cws,3/12/2022,37.20511266
1017,cws,3/12/2022,37.66426542
1026,cws,3/12/2022,36.2822582
1030,cws,3/12/2022,38.00432496
1031,cws,3/12/2022,34.12769383
1036,cws,3/12/2022,36.76040672
1039,cws,3/12/2022,38.0591159
1056,cws,3/12/2022,37.25089744
1067,cws,3/12/2022,37.0319491
1069,cws,3/12/2022,36.22574715
1077,cws,3/12/2022,36.24743737
1078,cws,3/12/2022,36.64587892
1085,cws,3/12/2022,36.47340747
1088,cws,3/12/2022,37.19527
1093,cws,3/12/2022,39.01879231
1094,cws,3/12/2022,38.61821013
1099,cws,3/12/2022,33.65567414
1101,cws,3/12/2022,35.39460341
1104,cws,3/12/2022,37.40921406
1113,cws,3/12/2022,38.03907518
1114,cws,3/12/2022,39.77119009
1115,cws,3/12/2022,37.65501505
1116,cws,3/12/2022,32.78276669
1121,cws,3/12/2022,37.84448916
1122,cws,3/12/2022,34.89768715
1126,cws,3/12/2022,36.80734463
1130,cws,3/12/2022,36.65900436
1142,cws,3/12/2022,38.26616365
1144,cws,3/12/2022,38.06710494
1149,cws,3/12/2022,36.80739016
1154,cws,3/12/2022,35.6993087
1159,cws,3/12/2022,37.25602139
1160,cws,3/12/2022,37.41162606
1166,cws,3/12/2022,38.08196967
1168,cws,3/12/2022,37.03165163
1169,cws,3/12/2022,37.79009933
1180,cws,3/12/2022,38.61096048
1182,cws,3/12/2022,36.06846507
1185,cws,3/12/2022,38.50071532
1186,cws,3/12/2022,37.10273308
1188,cws,3/12/2022,36.81366983
1191,cws,3/12/2022,36.10184098
1192,cws,3/12/2022,35.86121004
1197,cws,3/12/2022,38.75581708
1203,cws,3/12/2022,39.12101082
1204,cws,3/12/2022,37.5106937
1209,cws,3/12/2022,36.84356069
1211,cws,3/12/2022,38.29029026
1215,cws,3/12/2022,36.96759756
1218,cws,3/12/2022,36.46282246
1219,cws,3/12/2022,35.82788916
1222,cws,3/12/2022,38.41613866
1227,cws,3/12/2022,39.00355555
1228,cws,3/12/2022,37.77269573
1229,cws,3/12/2022,37.52813988
1230,cws,3/12/2022,37.45082749
1235,cws,3/12/2022,39.4058342
1238,cws,3/12/2022,37.5899455
1248,cws,3/12/2022,37.36345163
1258,cws,3/12/2022,39.42060265
1259,cws,3/12/2022,-9999
1263,cws,3/12/2022,36.92111693
1269,cws,3/12/2022,37.27223909
1279,cws,3/12/2022,37.09784244
1281,cws,3/12/2022,36.73379373
1292,cws,3/12/2022,38.75257981
1297,cws,3/12/2022,37.20895548
1302,cws,3/12/2022,36.40267349
1324,cws,3/12/2022,39.0615389
1338,cws,3/12/2022,37.45913674
1345,cws,3/12/2022,36.40071864
1348,cws,3/12/2022,38.45846926
1349,cws,3/12/2022,38.10003088
1350,cws,3/12/2022,37.58215099
1354,cws,3/12/2022,38.54124299
1355,cws,3/12/2022,39.30079643
1360,cws,3/12/2022,35.57670223
1366,cws,3/12/2022,38.72774771
1377,cws,3/12/2022,37.34423869
1381,cws,3/12/2022,40.35188135
175,cws,3/12/2022,33.5774585
176,cws,3/12/2022,33.96532687
177,cws,3/12/2022,38.06324052
179,cws,3/12/2022,37.39651281
180,cws,3/12/2022,37.13606162
181,cws,3/12/2022,36.38511389
182,cws,3/12/2022,36.25094769
183,cws,3/12/2022,37.69054655
184,cws,3/12/2022,39.14305123
185,cws,3/12/2022,38.53780149
186,cws,3/12/2022,37.86566914
187,cws,3/12/2022,35.54273665
188,cws,3/12/2022,36.00099099
190,cws,3/12/2022,36.88163682
192,cws,3/12/2022,37.43063961
193,cws,3/12/2022,36.92525174
194,cws,3/12/2022,39.0699985
195,cws,3/12/2022,38.06775229
35,cws,3/12/2022,38.41188182
34,cws,3/12/2022,38.00248919
33,cws,3/12/2022,39.23098935
17,cws,3/12/2022,39.57264174
18,cws,3/12/2022,39.99595211
16,cws,3/12/2022,39.68895556
15,cws,3/12/2022,36.67104268
14,cws,3/12/2022,37.98370294
13,cws,3/12/2022,38.37853808
114,cws,3/12/2022,38.70668188
115,cws,3/12/2022,38.11140518
20,cws,3/12/2022,39.21138547
21,cws,3/12/2022,39.11617367
2,cws,3/12/2022,39.06473928
25,cws,3/12/2022,39.4622626
117,cws,3/12/2022,37.41318707
5,cws,3/12/2022,37.7005846
7,cws,3/12/2022,36.97471495
9,cws,3/12/2022,36.57597326
11,cws,3/12/2022,37.89352509
12,cws,3/12/2022,38.72255747
22,cws,3/12/2022,39.24592824
23,cws,3/12/2022,38.73458176
24,cws,3/12/2022,39.6219146
26,cws,3/12/2022,37.19365715
