temporal,date,id,mean_lst,distance,direction,area,use,temp_id,date_id,gradient_id,buffer_id,delta_T,delta_T_base,mean_lst_base
day,2022-12-03,40,38.49422375,1,15,26.1499340473,prediction,1,1,1_1_15,1_15_1,1.3151537500000003,1.810981340000005,36.62423634
day,2022-12-03,46,38.08553194,2,15,78.50635058,prediction,1,1,1_1_15,1_15_2,-0.40869181000000054,0.08339781999999474,36.70763416
day,2022-12-03,59,37.48006059,3,15,130.871230267,prediction,1,1,1_1_15,1_15_3,-0.605471350000002,-1.3082599399999992,35.39937422
day,2022-12-03,69,38.2383662,4,15,183.246919315,prediction,1,1,1_1_15,1_15_4,0.7583056100000007,0.31507284999999996,35.71444707
day,2022-12-03,81,37.94671647,5,15,235.597026849,prediction,1,1,1_1_15,1_15_5,-0.29164973000000316,-0.07320682999999661,35.64124024
day,2022-12-03,92,36.91062757,6,15,287.960622974,prediction,1,1,1_1_15,1_15_6,-1.0360888999999958,-1.0625387100000054,34.57870153
day,2022-12-03,103,36.83527429,7,15,340.284751843,prediction,1,1,1_1_15,1_15_7,-0.07535328000000163,0.1074443400000007,34.68614587
day,2022-12-03,114,36.41009773,8,15,392.695837136,prediction,1,1,1_1_15,1_15_8,-0.42517656000000414,0.10975198000000574,34.79589785
day,2022-12-03,125,36.0637026,9,15,445.06189049,prediction,1,1,1_1_15,1_15_9,-0.34639512999999766,-0.1876747400000056,34.60822311
day,2022-12-03,136,36.88952593,10,15,497.368061999,prediction,1,1,1_1_15,1_15_10,0.8258233299999986,0.9280459500000049,35.53626906
day,2022-12-03,143,36.96629152,11,15,546.961835945,prediction,1,1,1_1_15,1_15_11,0.07676559000000083,0.48520394999999894,36.02147301
day,2022-12-03,158,36.32774541,12,15,601.549994255,prediction,1,1,1_1_15,1_15_12,-0.6385461100000001,-0.4579488199999986,35.56352419
day,2022-12-03,169,34.8208842,13,15,653.857246533,prediction,1,1,1_1_15,1_15_13,-1.5068612099999967,-1.1461188399999998,34.41740535
day,2022-12-03,180,34.90474004,14,15,707.152439805,prediction,1,1,1_1_15,1_15_14,0.08385583999999824,0.08392148999999449,34.50132684
day,2022-12-03,190,34.55886996,15,15,758.617319606,prediction,1,1,1_1_15,1_15_15,-0.3458700799999974,-0.19548384999999513,34.30584299
day,2022-12-03,201,34.0372709,16,15,810.933963379,prediction,1,1,1_1_15,1_15_16,-0.5215990599999998,-0.8894973000000022,33.41634569
day,2022-12-03,213,34.50597001,17,15,864.438434635,prediction,1,1,1_1_15,1_15_17,0.46869910999999576,0.3618942200000035,33.77823991
day,2022-12-03,223,34.54300352,18,15,915.710469659,prediction,1,1,1_1_15,1_15_18,0.03703351000000055,0.16686677999999944,33.94510669
day,2022-12-03,234,34.23158798,19,15,968.034633446,prediction,1,1,1_1_15,1_15_19,-0.3114155399999987,-0.006513160000004348,33.93859353
day,2022-12-03,245,32.75193813,20,15,1020.3586323,prediction,1,1,1_1_15,1_15_20,-1.4796498500000013,-0.7534228299999981,33.1851707
day,2022-12-03,255,31.74156943,21,15,1074.08747563,prediction,1,1,1_1_15,1_15_21,-1.0103687000000008,-0.2487802799999983,32.93639042
day,2022-12-03,267,31.2305087,22,15,1125.14278858,prediction,1,1,1_1_15,1_15_22,-0.511060729999997,-0.6402473500000028,32.29614307
day,2022-12-03,278,30.97522917,23,15,1177.47240482,prediction,1,1,1_1_15,1_15_23,-0.2552795300000028,-0.157586000000002,32.13855707
day,2022-12-03,35,38.01461716,1,45,26.1492919353,prediction,1,1,1_1_45,1_45_1,0.8355471599999973,0.9803153599999987,35.79357036
day,2022-12-03,45,38.63048274,2,45,78.5051404983,prediction,1,1,1_1_45,1_45_2,0.6158655799999977,0.3538057900000027,36.14737615
day,2022-12-03,57,37.91541086,3,45,130.869096061,prediction,1,1,1_1_45,1_45_3,-0.7150718799999964,-1.0138598599999966,35.13351629
day,2022-12-03,70,37.78207923,4,45,183.248158249,prediction,1,1,1_1_45,1_45_4,-0.1333316300000007,-0.16416946000000365,34.96934683
day,2022-12-03,79,38.22643171,5,45,235.589826951,prediction,1,1,1_1_45,1_45_5,0.44435247999999916,0.6332087999999985,35.60255563
day,2022-12-03,91,37.79862923,6,45,287.957554831,prediction,1,1,1_1_45,1_45_6,-0.4278024799999969,-0.36547171999999506,35.23708391
day,2022-12-03,102,37.37943804,7,45,340.276678648,prediction,1,1,1_1_45,1_45_7,-0.4191911900000065,-0.16580181000000493,35.0712821
day,2022-12-03,111,37.07973253,8,45,392.681811001,prediction,1,1,1_1_45,1_45_8,-0.29970550999999546,0.2080715600000005,35.27935366
day,2022-12-03,122,36.77592604,9,45,445.044364492,prediction,1,1,1_1_45,1_45_9,-0.3038064899999995,0.0014820700000015563,35.28083573
day,2022-12-03,134,36.00167302,10,45,497.348890797,prediction,1,1,1_1_45,1_45_10,-0.7742530200000033,-0.651550389999997,34.62928534
day,2022-12-03,146,36.15930219,11,45,546.992632234,prediction,1,1,1_1_45,1_45_11,0.15762916999999987,0.4046579099999974,35.03394325
day,2022-12-03,156,35.57684435,12,45,601.532445915,prediction,1,1,1_1_45,1_45_12,-0.5824578399999965,-0.48802360999999905,34.54591964
day,2022-12-03,167,35.53399746,13,45,653.835724378,prediction,1,1,1_1_45,1_45_13,-0.04284688999999986,0.14644837000000166,34.69236801
day,2022-12-03,179,35.26492315,14,45,707.144348088,prediction,1,1,1_1_45,1_45_14,-0.2690743100000006,-0.05247104000000036,34.63989697
day,2022-12-03,189,35.05405218,15,45,758.58921792,prediction,1,1,1_1_45,1_45_15,-0.210870970000002,-0.37854607000000584,34.2613509
day,2022-12-03,200,35.95031328,16,45,810.90091175,prediction,1,1,1_1_45,1_45_16,0.8962611000000038,0.6502611200000032,34.91161202
day,2022-12-03,208,35.92232144,17,45,864.159798579,prediction,1,1,1_1_45,1_45_17,-0.027991840000005652,0.03474149000000182,34.94635351
day,2022-12-03,221,35.34518694,18,45,915.637247911,prediction,1,1,1_1_45,1_45_18,-0.5771344999999997,-0.16683438999999822,34.77951912
day,2022-12-03,232,34.01060026,19,45,967.953625279,prediction,1,1,1_1_45,1_45_19,-1.334586680000001,-1.0996649000000005,33.67985422
day,2022-12-03,243,33.65052458,20,45,1020.26945164,prediction,1,1,1_1_45,1_45_20,-0.36007567999999424,-0.04080248000000353,33.63905174
day,2022-12-03,254,32.82796076,21,45,1073.99224514,prediction,1,1,1_1_45,1_45_21,-0.8225638199999992,-0.5480864399999987,33.0909653
day,2022-12-03,266,32.89671618,22,45,1125.0365688,prediction,1,1,1_1_45,1_45_22,0.06875541999999513,0.38817070999999714,33.47913601
day,2022-12-03,277,32.64145807,23,45,1177.35692372,prediction,1,1,1_1_45,1_45_23,-0.25525810999999976,-0.15857134999999545,33.32056466
day,2022-12-03,288,32.54522647,24,45,1229.67680296,prediction,1,1,1_1_45,1_45_24,-0.09623159999999586,-0.08485318000000319,33.23571148
day,2022-12-03,298,32.88654753,25,45,1281.99601257,prediction,1,1,1_1_45,1_45_25,0.3413210599999985,0.4011923799999977,33.63690386
day,2022-12-03,309,32.37376837,26,45,1336.0622659,prediction,1,1,1_1_45,1_45_26,-0.5127791600000009,-0.4388008199999973,33.19810304
day,2022-12-03,320,32.35604297,27,45,1386.76970677,prediction,1,1,1_1_45,1_45_27,-0.017725400000003333,0.23407676000000066,33.4321798
