temporal,use,p_id,source,date,Time_AEDT,Time_UTC,lst_pred,ta
day,prediction,200,prws,03/12/2022,2022-12-03 11:00:00,2022-12-03 00:00:00,37.28904136,26.7
night,prediction,200,prws,03/12/2022,2022-12-04 00:00:00,2022-12-03 13:00:00,19.70418477,20.2
night,base,200,prws,25/12/2022,2022-12-26 00:00:00,2022-12-25 13:00:00,18.19000053,18.4
day,prediction,200,prws,27/12/2022,2022-12-27 11:00:00,2022-12-27 00:00:00,39.43109587,32.6
night,prediction,200,prws,27/12/2022,2022-12-28 00:00:00,2022-12-27 13:00:00,26.22361185,29.3
day,base,200,prws,07/01/2023,2023-01-07 11:00:00,2023-01-07 00:00:00,35.80310059,24.6
night,prediction,200,prws,07/01/2023,2023-01-08 00:00:00,2023-01-07 13:00:00,17.09514447,19.0
day,prediction,200,prws,27/01/2023,2023-01-27 11:00:00,2023-01-27 00:00:00,33.13559066,20.2
night,prediction,200,prws,27/01/2023,2023-01-28 00:00:00,2023-01-27 13:00:00,18.23918316,19.5
night,reference,200,prws,09/02/2023,2023-02-10 00:00:00,2023-02-09 13:00:00,18.82999992370605,18.3
day,prediction,600,prws,03/12/2022,2022-12-03 11:00:00,2022-12-03 00:00:00,37.69776009,28.3
night,prediction,600,prws,03/12/2022,2022-12-04 00:00:00,2022-12-03 13:00:00,20.09103566,18.4
night,base,600,prws,25/12/2022,2022-12-26 00:00:00,2022-12-25 13:00:00,19.11000061,18.0
day,prediction,600,prws,27/12/2022,2022-12-27 11:00:00,2022-12-27 00:00:00,41.72130393,33.4
night,prediction,600,prws,27/12/2022,2022-12-28 00:00:00,2022-12-27 13:00:00,27.54385828,29.0
day,base,600,prws,07/01/2023,2023-01-07 11:00:00,2023-01-07 00:00:00,39.19950104,25.5
night,prediction,600,prws,07/01/2023,2023-01-08 00:00:00,2023-01-07 13:00:00,17.99231992,18.8
day,prediction,600,prws,27/01/2023,2023-01-27 11:00:00,2023-01-27 00:00:00,35.42469618,20.2
night,prediction,600,prws,27/01/2023,2023-01-28 00:00:00,2023-01-27 13:00:00,19.31655903,17.9
night,reference,600,prws,09/02/2023,2023-02-10 00:00:00,2023-02-09 13:00:00,18.350000381469727,17.9
day,prediction,400,prws,03/12/2022,2022-12-03 11:00:00,2022-12-03 00:00:00,33.75179672,26.1
night,prediction,400,prws,03/12/2022,2022-12-04 00:00:00,2022-12-03 13:00:00,18.24473404,18.6
night,base,400,prws,25/12/2022,2022-12-26 00:00:00,2022-12-25 13:00:00,18.09000015,17.5
day,prediction,400,prws,27/12/2022,2022-12-27 11:00:00,2022-12-27 00:00:00,36.00956793,31.6
night,prediction,400,prws,27/12/2022,2022-12-28 00:00:00,2022-12-27 13:00:00,24.55006987,27.9
day,base,400,prws,07/01/2023,2023-01-07 11:00:00,2023-01-07 00:00:00,33.75180054,24.2
night,prediction,400,prws,07/01/2023,2023-01-08 00:00:00,2023-01-07 13:00:00,15.57719565,18.2
