p_id,source,date,lst_pred
1004,cws,3/12/2022,18.46228293
1010,cws,3/12/2022,21.90679154
1011,cws,3/12/2022,21.59044113
1016,cws,3/12/2022,22.71114816
1017,cws,3/12/2022,21.59939112
1026,cws,3/12/2022,21.33650729
1030,cws,3/12/2022,20.96896831
1031,cws,3/12/2022,18.81700964
1036,cws,3/12/2022,22.71771742
1039,cws,3/12/2022,22.10448257
1056,cws,3/12/2022,20.95094015
1067,cws,3/12/2022,21.03758076
1069,cws,3/12/2022,22.99269353
1077,cws,3/12/2022,22.06532906
1078,cws,3/12/2022,22.18663105
1085,cws,3/12/2022,19.12084288
1088,cws,3/12/2022,23.48949436
1093,cws,3/12/2022,22.99214532
1094,cws,3/12/2022,22.60188272
1099,cws,3/12/2022,22.34117611
1101,cws,3/12/2022,20.11001587
1104,cws,3/12/2022,21.05206063
1113,cws,3/12/2022,19.66709429
1114,cws,3/12/2022,20.68908483
1115,cws,3/12/2022,22.32786855
1121,cws,3/12/2022,20.5205011
1122,cws,3/12/2022,21.30999756
1126,cws,3/12/2022,22.81811064
1130,cws,3/12/2022,19.15011283
1142,cws,3/12/2022,21.76379286
1144,cws,3/12/2022,20.65724189
1149,cws,3/12/2022,21.69115859
1159,cws,3/12/2022,23.00996697
1160,cws,3/12/2022,21.04436236
1166,cws,3/12/2022,23.3269094
1168,cws,3/12/2022,21.14252127
1169,cws,3/12/2022,20.2194038
1180,cws,3/12/2022,21.9644876
1182,cws,3/12/2022,20.39435492
1185,cws,3/12/2022,19.71627991
1186,cws,3/12/2022,22.3384421
1188,cws,3/12/2022,21.65935838
1191,cws,3/12/2022,20.49740793
1192,cws,3/12/2022,21.75856015
1197,cws,3/12/2022,19.58950146
1203,cws,3/12/2022,22.22048709
1204,cws,3/12/2022,20.76345889
1209,cws,3/12/2022,20.78424695
1211,cws,3/12/2022,21.77048053
1215,cws,3/12/2022,21.20541642
1218,cws,3/12/2022,21.06921278
1219,cws,3/12/2022,20.75282182
1222,cws,3/12/2022,20.08260114
1227,cws,3/12/2022,22.43883345
1228,cws,3/12/2022,23.00683283
1229,cws,3/12/2022,19.64265417
1230,cws,3/12/2022,21.99523076
1235,cws,3/12/2022,21.2629562
1238,cws,3/12/2022,24.39315708
1248,cws,3/12/2022,21.22299978
1258,cws,3/12/2022,21.74464419
1259,cws,3/12/2022,-9999
1263,cws,3/12/2022,21.57460748
1269,cws,3/12/2022,18.98272958
1279,cws,3/12/2022,21.07501075
1281,cws,3/12/2022,21.54170731
1292,cws,3/12/2022,21.00905806
1297,cws,3/12/2022,21.13361898
1302,cws,3/12/2022,20.28717998
1324,cws,3/12/2022,21.37831317
1338,cws,3/12/2022,22.7463726
1345,cws,3/12/2022,21.80195092
1348,cws,3/12/2022,18.7000452
1349,cws,3/12/2022,22.64995809
1350,cws,3/12/2022,20.88628088
1354,cws,3/12/2022,21.55465673
1355,cws,3/12/2022,22.42132477
1360,cws,3/12/2022,21.77877029
1366,cws,3/12/2022,20.35991719
1377,cws,3/12/2022,20.64518505
1381,cws,3/12/2022,21.90234378
175,cws,3/12/2022,22.09320815
176,cws,3/12/2022,20.21011775
177,cws,3/12/2022,21.37884393
179,cws,3/12/2022,20.58640258
180,cws,3/12/2022,20.56031656
181,cws,3/12/2022,20.93161412
182,cws,3/12/2022,20.61657774
183,cws,3/12/2022,20.62587229
184,cws,3/12/2022,21.86049558
185,cws,3/12/2022,20.49647596
186,cws,3/12/2022,20.06055506
187,cws,3/12/2022,16.44995173
188,cws,3/12/2022,22.71134394
190,cws,3/12/2022,19.26197833
192,cws,3/12/2022,18.15447984
193,cws,3/12/2022,18.05141165
194,cws,3/12/2022,19.4319718
195,cws,3/12/2022,21.20814542
35,cws,3/12/2022,21.8432026
34,cws,3/12/2022,22.17646317
33,cws,3/12/2022,19.96671689
17,cws,3/12/2022,21.0680367
18,cws,3/12/2022,20.1784049
16,cws,3/12/2022,20.96257283
15,cws,3/12/2022,19.85917517
14,cws,3/12/2022,21.80741755
13,cws,3/12/2022,21.4214896
114,cws,3/12/2022,21.16433273
115,cws,3/12/2022,21.17711663
20,cws,3/12/2022,21.24825112
21,cws,3/12/2022,21.57985602
2,cws,3/12/2022,21.39383286
25,cws,3/12/2022,21.17362036
117,cws,3/12/2022,20.90315986
5,cws,3/12/2022,20.68473963
7,cws,3/12/2022,22.03980602
9,cws,3/12/2022,20.70460403
11,cws,3/12/2022,19.84495028
12,cws,3/12/2022,21.57235935
22,cws,3/12/2022,20.75328947
23,cws,3/12/2022,20.61515017
24,cws,3/12/2022,22.44283137
26,cws,3/12/2022,19.96333951
27,cws,3/12/2022,21.66548261
28,cws,3/12/2022,20.94439154
29,cws,3/12/2022,22.09453286
30,cws,3/12/2022,22.58591987
31,cws,3/12/2022,21.92081023
32,cws,3/12/2022,23.04943441
36,cws,3/12/2022,20.48105295
37,cws,3/12/2022,19.93942207
38,cws,3/12/2022,21.44734186
39,cws,3/12/2022,20.94498599
40,cws,3/12/2022,22.3467339
41,cws,3/12/2022,20.29232692
42,cws,3/12/2022,20.80481584
43,cws,3/12/2022,21.91603152
45,cws,3/12/2022,20.38823491
46,cws,3/12/2022,20.53621076
47,cws,3/12/2022,21.48662947
48,cws,3/12/2022,21.15037682
49,cws,3/12/2022,19.85623576
50,cws,3/12/2022,20.92755255
51,cws,3/12/2022,20.49167353
52,cws,3/12/2022,23.41256215
53,cws,3/12/2022,20.53844408
54,cws,3/12/2022,20.61184975
55,cws,3/12/2022,21.05664899
56,cws,3/12/2022,20.09737952
57,cws,3/12/2022,20.03397818
58,cws,3/12/2022,19.93685268
59,cws,3/12/2022,20.36567863
60,cws,3/12/2022,19.64230155
61,cws,3/12/2022,17.66150709
62,cws,3/12/2022,21.32040375
63,cws,3/12/2022,22.25802819
64,cws,3/12/2022,19.58797995
65,cws,3/12/2022,20.81965124
66,cws,3/12/2022,21.21743255
67,cws,3/12/2022,22.51885033
68,cws,3/12/2022,20.78910552
69,cws,3/12/2022,20.39524144
70,cws,3/12/2022,19.88937788
71,cws,3/12/2022,22.52580444
72,cws,3/12/2022,20.72862744
73,cws,3/12/2022,20.88543808
74,cws,3/12/2022,20.05822993
75,cws,3/12/2022,21.70974162
76,cws,3/12/2022,21.06093269
77,cws,3/12/2022,19.3405502
78,cws,3/12/2022,19.18077109
79,cws,3/12/2022,20.69904383
80,cws,3/12/2022,21.34233303
81,cws,3/12/2022,19.84677764
82,cws,3/12/2022,20.98269158
83,cws,3/12/2022,22.174894
84,cws,3/12/2022,21.32782609
85,cws,3/12/2022,21.25357854
86,cws,3/12/2022,20.44813953
87,cws,3/12/2022,19.95554416
88,cws,3/12/2022,22.28823784
89,cws,3/12/2022,20.43466709
90,cws,3/12/2022,20.27710605
91,cws,3/12/2022,22.44518483
92,cws,3/12/2022,20.60333901
93,cws,3/12/2022,20.7238232
94,cws,3/12/2022,20.2119295
95,cws,3/12/2022,22.35655676
96,cws,3/12/2022,20.12249949
97,cws,3/12/2022,20.95514302
98,cws,3/12/2022,22.39789316
99,cws,3/12/2022,22.84516798
100,cws,3/12/2022,22.30966388
101,cws,3/12/2022,23.01481171
102,cws,3/12/2022,20.55190563
104,cws,3/12/2022,20.40070938
105,cws,3/12/2022,19.98776467
106,cws,3/12/2022,20.4750697
107,cws,3/12/2022,22.57652625
108,cws,3/12/2022,22.11206119
109,cws,3/12/2022,21.63410675
110,cws,3/12/2022,23.22438492
111,cws,3/12/2022,22.71360681
112,cws,3/12/2022,20.22537497
113,cws,3/12/2022,19.28554446
116,cws,3/12/2022,20.30584702
8,cws,3/12/2022,18.4224567
6,cws,3/12/2022,18.71680066
4,cws,3/12/2022,22.66907422
3,cws,3/12/2022,20.48878505
19,cws,3/12/2022,20.45864908
1,cws,3/12/2022,21.33687884
118,cws,3/12/2022,23.47896918
119,cws,3/12/2022,22.44802139
120,cws,3/12/2022,22.43659202
122,cws,3/12/2022,20.97024639
121,cws,3/12/2022,21.8220502
123,cws,3/12/2022,20.27389249
124,cws,3/12/2022,20.01966329
125,cws,3/12/2022,20.83705732
126,cws,3/12/2022,19.82377095
127,cws,3/12/2022,20.5551074
128,cws,3/12/2022,20.38755748
130,cws,3/12/2022,21.56545907
131,cws,3/12/2022,21.6336983
132,cws,3/12/2022,21.97167021
133,cws,3/12/2022,23.04967498
134,cws,3/12/2022,20.6948333
135,cws,3/12/2022,21.46499463
136,cws,3/12/2022,20.69912573
137,cws,3/12/2022,20.41765605
140,cws,3/12/2022,21.68172558
141,cws,3/12/2022,18.84715495
142,cws,3/12/2022,19.58999634
143,cws,3/12/2022,20.02514398
144,cws,3/12/2022,20.88375268
145,cws,3/12/2022,20.50016911
146,cws,3/12/2022,20.65674665
147,cws,3/12/2022,18.90446248
148,cws,3/12/2022,20.03681452
149,cws,3/12/2022,18.51734574
151,cws,3/12/2022,19.26654212
152,cws,3/12/2022,18.04804365
153,cws,3/12/2022,19.79153757
154,cws,3/12/2022,-9999
155,cws,3/12/2022,21.37200099
156,cws,3/12/2022,19.42849625
157,cws,3/12/2022,19.12805419
158,cws,3/12/2022,20.47919103
159,cws,3/12/2022,18.72568401
160,cws,3/12/2022,19.65321049
161,cws,3/12/2022,21.7067922
162,cws,3/12/2022,18.02887562
163,cws,3/12/2022,20.09990143
164,cws,3/12/2022,19.96475864
165,cws,3/12/2022,22.8733331
166,cws,3/12/2022,23.29986868
167,cws,3/12/2022,20.59054491
168,cws,3/12/2022,21.52998596
169,cws,3/12/2022,22.69133301
170,cws,3/12/2022,19.27132474
171,cws,3/12/2022,19.37538129
173,cws,3/12/2022,21.32501826
174,cws,3/12/2022,21.49201941
400,prws,3/12/2022,18.24473404
200,prws,3/12/2022,19.70418477
600,prws,3/12/2022,20.09103566
500,prws,3/12/2022,21.68088981
300,prws,3/12/2022,20.64933828
1074,cws,3/12/2022,20.99445889
1084,cws,3/12/2022,-9999
1097,cws,3/12/2022,-9999
1116,cws,3/12/2022,20.65626224
1154,cws,3/12/2022,21.91879555
1217,cws,3/12/2022,22.54334517
1249,cws,3/12/2022,-9999
1256,cws,3/12/2022,18.46597781
1301,cws,3/12/2022,-9999
1365,cws,3/12/2022,21.21959875
138,cws,3/12/2022,22.09765305
139,cws,3/12/2022,19.78612401
1004,cws,27/12/2022,23.98930344
1010,cws,27/12/2022,28.30850835
1011,cws,27/12/2022,27.62232573
1016,cws,27/12/2022,29.65316086
1017,cws,27/12/2022,27.47810291
1026,cws,27/12/2022,27.45949136
1030,cws,27/12/2022,26.89021384
1031,cws,27/12/2022,25.04086234
1036,cws,27/12/2022,28.55377338
1039,cws,27/12/2022,28.30209139
1056,cws,27/12/2022,26.42782751
1067,cws,27/12/2022,27.11606537
1069,cws,27/12/2022,28.75971768
1077,cws,27/12/2022,27.06399158
1078,cws,27/12/2022,27.91895031
1085,cws,27/12/2022,26.29429067
1088,cws,27/12/2022,29.71359704
1093,cws,27/12/2022,28.89138895
1094,cws,27/12/2022,29.07613237
1099,cws,27/12/2022,29.73757466
1101,cws,27/12/2022,25.64500557
1104,cws,27/12/2022,27.041881
1113,cws,27/12/2022,27.47673814
1114,cws,27/12/2022,27.9722687
1115,cws,27/12/2022,28.8590109
1121,cws,27/12/2022,27.31244499
1122,cws,27/12/2022,26.92965223
1126,cws,27/12/2022,28.88782715
1130,cws,27/12/2022,26.6606741
1142,cws,27/12/2022,27.63464638
1144,cws,27/12/2022,26.83375014
1149,cws,27/12/2022,27.94088348
1159,cws,27/12/2022,28.66191053
1160,cws,27/12/2022,27.17910766
