temporal,fused_date,Method,AD,RMSE,ND_EDGE,ND_LBP,Method_date
day,8/01/2021,STARFM,-0.018139732,0.029627112,-0.197529841,-0.115570199,STARFM_2021/01/08
day,19/01/2022,STARFM,0.006166232,0.017379797,-0.191821389,-0.042360601,STARFM_2022/01/19
day,20/01/2022,STARFM,-0.02941892,0.036462852,-0.214256106,-0.116748407,STARFM_2022/01/20
day,8/01/2021,FSDAF,-0.019758641,0.032038508,-0.209569471,-0.005724423,FSDAF_2021/01/08
day,19/01/2022,FSDAF,0.004909119,0.021034136,-0.147635624,0.120894596,FSDAF_2022/01/19
day,20/01/2022,FSDAF,-0.030897442,0.038385507,-0.244015681,-0.068652314,FSDAF_2022/01/20
night,12/12/2021,STARFM,-0.009416764,0.022141054,-0.205334266,0.141468256,STARFM_2021/12/12
night,9/02/2023,STARFM,-0.008905406,0.024086454,-0.259691154,0.084261221,STARFM_2023/02/09
night,12/12/2021,FSDAF,-0.007763589,0.021182605,-0.218925568,0.123634398,FSDAF_2021/12/12
night,9/02/2023,FSDAF,-0.0071574,0.023203329,-0.272446981,0.075640035,FSDAF_2023/02/09
