spatial,temporal,use,date,view_time_UTC,view_time_AEDT,file_ID
Fine,Daytime,Base,7/01/2023,7/01/2023 0:04,7/01/2023 11:04,LC80920862023007LGN00
Fine,Daytime,Reference,8/01/2021,8/01/2021 0:10,8/01/2021 11:10,LC80930862021008LGN00
Fine,Daytime,Reference,19/01/2022,19/01/2022 0:10,19/01/2022 11:10,LC90930862022019LGN01
Fine,Daytime,Reference,20/01/2022,20/01/2022 0:04,20/01/2022 11:04,LC80920872022020LGN00
Fine,Nighttime,Base,25/12/2022,25/12/2022 12:50,25/12/2022 23:50,ECO_L2T_LSTE.002_LST_doy2022359124954_aid0001_55S
Fine,Nighttime,Base,25/12/2022,25/12/2022 12:50,25/12/2022 23:50,ECO_L2T_LSTE.002_LST_doy2022359125046_aid0001_55S
Fine,Nighttime,Reference,12/12/2021,12/12/2021 11:22,12/12/2021 22:22,ECO_L2T_LSTE.002_LST_doy2021346112222_aid0001_55S
Fine,Nighttime,Reference,9/02/2023,9/02/2023 12:50,9/02/2023 23:50,ECO_L2T_LSTE.002_LST_doy2023040114723_aid0001_55S
Coarse,Daytime,Base,7/01/2023,6/01/2023 22:48,7/01/2023 9:48,MOD11A1.061_LST_Day_1km_doy2023007000000_aid0001
Coarse,Daytime,Reference,8/01/2021,7/01/2021 23:54,8/01/2021 10:54,MOD11A1.061_LST_Day_1km_doy2021008000000_aid0001
Coarse,Daytime,Reference,19/01/2022,18/01/2022 23:00,19/01/2022 10:00,MOD11A1.061_LST_Day_1km_doy2022019000000_aid0001
Coarse,Daytime,Reference,20/01/2022,19/01/2022 23:42,20/01/2022 10:42,MOD11A1.061_LST_Day_1km_doy2022020000000_aid0001
Coarse,Nighttime,Base,25/12/2022,25/12/2022 11:42,25/12/2022 22:42,MOD11A1.061_LST_Night_1km_doy2022359000000_aid0001
Coarse,Nighttime,Reference,12/12/2021,12/12/2021 11:42,12/12/2021 22:42,MOD11A1.061_LST_Night_1km_doy2021346000000_aid0001
Coarse,Nighttime,Reference,9/02/2023,9/02/2023 12:06,9/02/2023 23:06,MOD11A1.061_LST_Night_1km_doy2023040000000_aid0001
Coarse,Daytime,Prediction,3/12/2022,2/12/2022 22:30,3/12/2022 9:30,MOD11A1.061_LST_Day_1km_doy2022339000000_aid0001
Coarse,Daytime,Prediction,27/12/2022,26/12/2022 23:40,27/12/2022 10:40,MOD11A1.061_LST_Day_1km_doy2022361000000_aid0001
Coarse,Daytime,Prediction,7/01/2023,6/01/2023 22:20,7/01/2023 9:40,MOD11A1.061_LST_Day_1km_doy2023007000000_aid0001
Coarse,Daytime,Prediction,27/01/2023,26/01/2023 23:30,27/01/2023 10:30,MOD11A1.061_LST_Day_1km_doy2023027000000_aid0001
Coarse,Nighttime,Prediction,3/12/2022,3/12/2022 11:30,3/12/2022 22:30,MOD11A1.061_LST_Night_1km_doy2022337000000_aid0001
Coarse,Nighttime,Prediction,27/12/2022,27/12/2022 11:40,27/12/2022 22:40,MOD11A1.061_LST_Night_1km_doy2022361000000_aid0001
Coarse,Nighttime,Prediction,7/01/2023,7/01/2023 12:40,7/01/2023 23:40,MOD11A1.061_LST_Night_1km_doy2023007000000_aid0001
Coarse,Nighttime,Prediction,27/01/2023,27/01/2023 11:40,27/01/2023 22:40,MOD11A1.061_LST_Night_1km_doy2023027000000_aid0001
Coarse-SST,Daytime,Base,7/01/2023,7/01/2023 0:00,7/01/2023 11:00,20230107000000-JAXA-L2P_GHRSST-SSTskin-H09_AHI-v2.1-v02.0-fv02.0
